File,Category,Normalization,Step,Mean_LE,Std_LE,Mean_HE,Std_HE
ore-01-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,1.42,10.92,2.61,14.35
ore-01-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,1.63,11.36,4.07,17.63
ore-01-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,1.85,11.84,5.67,20.15
ore-01-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.08,12.29,7.3,22.19
ore-01-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.28,12.5,8.92,23.71
ore-01-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.48,12.75,10.46,24.81
ore-01-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.74,13.15,11.85,25.41
ore-01-1.2mm-200kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,8.08,15.9,26.42,28.52
ore-01-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,8.14,15.81,26.52,28.47
ore-01-1.2mm-220kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,8.8,16.27,28.57,29.05
ore-01-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,8.87,16.1,28.7,28.94
ore-01-1.2mm-240kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,9.43,16.28,30.46,29.27
ore-01-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,9.58,16.48,30.64,29.37
ore-01-1.2mm-260kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,10.12,16.63,32.16,29.63
ore-01-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,10.18,16.49,32.21,29.52
ore-01-1.2mm-280kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,10.8,17.02,33.65,29.87
ore-01-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,10.79,16.64,33.63,29.63
ore-01-1.2mm-300kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,11.34,17.0,34.84,29.92
ore-01-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,11.39,16.9,34.87,29.79
ore-01-1.2mm-320kV-2mA-orig.tif,Ore,Normalized (8bit 80%),All,12.06,17.45,35.91,29.84
ore-01-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,12.08,17.21,35.89,29.71
ore-02-18-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.35,12.14,3.41,15.97
ore-02-18-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.67,12.66,4.75,18.78
ore-02-18-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.0,13.23,5.93,20.96
ore-02-18-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.37,13.97,7.0,22.71
ore-02-18-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.74,14.73,7.97,24.12
ore-02-18-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.94,15.03,8.55,24.55
ore-02-18-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,10.39,18.42,21.42,25.44
ore-02-18-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,5.0,16.78,8.0,24.17
ore-02-18-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,5.55,17.43,11.03,28.05
ore-02-18-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,6.01,17.87,13.45,30.36
ore-02-18-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,6.44,18.33,15.49,31.96
ore-02-18-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,6.8,18.71,17.15,33.0
ore-02-18-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,7.16,19.02,18.54,33.65
ore-02-18-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,18.63,23.16,36.89,33.24
ore-18-02-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,13.75,22.02,27.28,31.95
ore-18-02-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,13.96,21.95,27.86,31.74
ore-18-02-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,14.34,22.15,28.54,31.76
ore-18-02-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,14.69,22.22,29.11,31.68
ore-18-02-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,15.02,22.29,29.58,31.54
ore-18-02-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,15.44,22.47,29.7,30.98
ore-18-02-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,16.19,22.67,29.3,29.56
ore-18-02-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,8.74,17.79,20.98,28.57
ore-18-02-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,9.08,17.87,21.88,28.71
ore-18-02-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,9.43,18.04,22.69,28.83
ore-18-02-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,9.81,18.22,23.47,28.97
ore-18-02-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,10.12,18.29,24.09,28.93
ore-18-02-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,10.36,18.25,24.54,28.76
ore-18-02-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,10.62,18.11,24.73,28.09
ore-31-33-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.34,24.03,68.03,28.01
ore-31-33-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.98,22.83,69.25,26.95
ore-31-33-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,39.19,23.02,70.74,26.83
ore-31-33-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,40.3,23.31,71.92,26.76
ore-31-33-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,41.09,23.16,72.61,26.36
ore-31-33-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,41.96,21.55,72.51,24.6
ore-31-33-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,46.81,24.74,73.98,25.52
ore-31-33-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,25.44,31.17,45.69,41.16
ore-31-33-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,25.19,29.69,45.82,40.17
ore-31-33-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,25.89,30.02,46.78,40.34
ore-31-33-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,26.31,29.96,47.39,40.18
ore-31-33-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,26.94,30.29,48.14,40.32
ore-31-33-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,25.06,26.43,46.16,37.13
ore-31-33-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,28.16,30.88,48.86,39.76
ore-33-31-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,23.73,28.89,41.67,38.55
ore-33-31-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,24.62,29.59,42.95,39.03
ore-33-31-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,24.95,29.3,43.48,38.59
ore-33-31-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,23.4,25.89,41.9,35.66
ore-33-31-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,23.9,26.11,42.44,35.64
ore-33-31-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,24.83,26.67,42.76,35.4
ore-33-31-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,25.03,25.45,41.04,32.65
ore-33-31-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,35.94,24.61,68.48,29.76
ore-33-31-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.11,24.84,70.03,29.53
ore-33-31-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.84,25.0,70.88,29.66
ore-33-31-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.12,22.05,70.36,27.06
ore-33-31-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,38.05,22.2,71.35,26.93
ore-33-31-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,38.8,22.19,71.94,26.58
ore-33-31-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,39.38,21.6,71.75,25.32
ore-38-PbZn-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,32.14,29.88,60.39,37.03
ore-38-PbZn-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,33.27,30.21,62.23,36.96
ore-38-PbZn-0.6mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,34.46,30.69,63.9,36.99
ore-38-PbZn-0.6mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,35.44,31.0,65.09,36.76
ore-38-PbZn-0.6mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,36.18,31.07,65.91,36.41
ore-38-PbZn-0.6mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,37.65,31.57,66.56,35.93
ore-38-PbZn-0.6mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,40.47,32.88,66.69,34.96
ore-38-PbZn-1.2mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.24,8.9,7.13,19.43
ore-38-PbZn-1.2mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.36,8.88,7.66,19.88
ore-38-PbZn-1.2mm-240kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.54,9.04,8.33,20.56
ore-38-PbZn-1.2mm-260kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.73,9.26,8.93,21.13
ore-38-PbZn-1.2mm-280kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,2.91,9.42,9.55,21.61
ore-38-PbZn-1.2mm-300kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.1,9.55,10.11,21.94
ore-38-PbZn-1.2mm-320kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.34,9.87,10.58,22.12
ore-PbZn-38-0.6mm-200kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,3.87,14.98,8.32,22.02
ore-PbZn-38-0.6mm-220kV-2mA-user.tif,Ore,Normalized (8bit from 16bit-user),All,4.06,15.17,8.94,22.69
